"Rank","Total XP","Level","Player","Skill"
"837,851","3,576,160","832","PVMAdmi","Overall"
"655,068","644,290","68","PVMAdmi","Atk"
"746,987","277,103","60","PVMAdmi","Def"
"588,783","1,055,497","73","PVMAdmi","Str"
"680,903","685,070","69","PVMAdmi","Constiution"
"680,308","196,040","56","PVMAdmi","Range"
"617,570","139,713","53","PVMAdmi","Prayer"
"784,225","146,787","53","PVMAdmi","Magic"
"1,253,797","2,535","15","PVMAdmi","Cooking"
"1,021,321","37,664","40","PVMAdmi","WoodCutting"
"804,981","18,830","33","PVMAdmi","Fletching"
"1,145,580","2,922","16","PVMAdmi","Fishing"
"1,247,144","2,440","15","PVMAdmi","FireMaking"
"634,637","211,284","57","PVMAdmi","Crafting"
"1,018,536","21,593","34","PVMAdmi","Smithing"
"--","--","--","PVMAdmi","Mining"
"--","--","--","PVMAdmi","Herb"
"775,063","15,826","31","PVMAdmi","Agile"
"674,698","30,109","37","PVMAdmi","Theiving"
"711,087","18,175","32","PVMAdmi","Slayer"
"--","--","--","PVMAdmi","Farming"
"--","--","--","PVMAdmi","RuneCrafting"
"--","--","--","PVMAdmi","Hunting"
"561,729","65,263","45","PVMAdmi","Construction"
"--","--","--","PVMAdmi","Summoning"
"--","--","--","PVMAdmi","Dungeoneering"
"--","--","--","PVMAdmi","Div"
"--","--","--","PVMAdmi","Inven"
"--","--","--","PVMAdmi","Arc"
"416,691","53,821,684","1,869","CokedCleland","Overall"
"398,987","3,399,146","85","CokedCleland","Atk"
"454,693","2,169,130","80","CokedCleland","Def"
"613,637","875,858","71","CokedCleland","Str"
"435,300","4,336,720","87","CokedCleland","Constiution"
"464,312","1,560,037","77","CokedCleland","Range"
"498,796","428,031","64","CokedCleland","Prayer"
"370,927","5,781,865","90","CokedCleland","Magic"
"492,846","825,922","71","CokedCleland","Cooking"
"760,587","274,970","60","CokedCleland","WoodCutting"
"482,213","911,912","72","CokedCleland","Fletching"
"543,903","540,015","66","CokedCleland","Fishing"
"732,606","158,613","54","CokedCleland","FireMaking"
"450,950","1,080,538","73","CokedCleland","Crafting"
"235,391","12,828,838","98","CokedCleland","Smithing"
"203,464","13,165,916","99","CokedCleland","Mining"
"463,383","278,896","60","CokedCleland","Herb"
"437,511","522,156","66","CokedCleland","Agile"
"464,767","227,595","58","CokedCleland","Theiving"
"476,772","426,318","64","CokedCleland","Slayer"
"411,446","227,901","58","CokedCleland","Farming"
"539,804","129,126","52","CokedCleland","RuneCrafting"
"500,474","145,267","53","CokedCleland","Hunting"
"474,859","221,985","57","CokedCleland","Construction"
"486,500","128,849","52","CokedCleland","Summoning"
"415,658","659,737","68","CokedCleland","Dungeoneering"
"278,584","2,387,067","81","CokedCleland","Div"
"--","--","--","CokedCleland","Inven"
"269,939","129,276","52","CokedCleland","Arc"
"333,696","187,271,651","2,119","Amos+deToro","Overall"
"655,069","644,267","68","Amos+deToro","Atk"
"564,154","973,181","72","Amos+deToro","Def"
"664,211","665,726","68","Amos+deToro","Str"
"646,350","876,026","71","Amos+deToro","Constiution"
"723,104","130,748","52","Amos+deToro","Range"
"524,243","319,292","61","Amos+deToro","Prayer"
"576,424","823,140","71","Amos+deToro","Magic"
"166,507","13,597,060","99","Amos+deToro","Cooking"
"297,757","5,083,715","89","Amos+deToro","WoodCutting"
"49,285","17,366,253","99","Amos+deToro","Fletching"
"310,484","3,041,785","84","Amos+deToro","Fishing"
"94,632","16,368,949","99","Amos+deToro","FireMaking"
"102,071","15,123,274","99","Amos+deToro","Crafting"
"23,707","43,336,241","99","Amos+deToro","Smithing"
"73,128","23,361,978","99","Amos+deToro","Mining"
"112,109","19,970,466","103","Amos+deToro","Herb"
"433,693","553,823","67","Amos+deToro","Agile"
"308,142","1,068,097","73","Amos+deToro","Theiving"
"574,287","120,909","51","Amos+deToro","Slayer"
"228,526","3,921,817","86","Amos+deToro","Farming"
"172,362","9,213,212","95","Amos+deToro","RuneCrafting"
"356,868","763,555","70","Amos+deToro","Hunting"
"311,390","1,608,542","77","Amos+deToro","Construction"
"483,247","135,724","52","Amos+deToro","Summoning"
"563,508","78,655","47","Amos+deToro","Dungeoneering"
"196,040","6,797,125","92","Amos+deToro","Div"
"--","--","--","Amos+deToro","Inven"
"189,023","1,328,091","75","Amos+deToro","Arc"
"300,470","115,251,625","2,222","Anderor","Overall"
"398,988","3,399,082","85","Anderor","Atk"
"270,390","13,128,399","99","Anderor","Def"
"349,726","6,435,239","91","Anderor","Str"
"345,803","9,142,739","95","Anderor","Constiution"
"395,995","2,811,306","83","Anderor","Range"
"383,343","1,603,318","77","Anderor","Prayer"
"271,229","13,218,128","99","Anderor","Magic"
"511,430","758,245","70","Anderor","Cooking"
"522,085","1,326,978","75","Anderor","WoodCutting"
"408,264","1,715,834","78","Anderor","Fletching"
"316,691","2,860,307","83","Anderor","Fishing"
"219,450","13,164,693","99","Anderor","FireMaking"
"201,051","13,042,487","99","Anderor","Crafting"
"287,852","5,037,098","89","Anderor","Smithing"
"303,766","3,490,751","85","Anderor","Mining"
"359,042","1,544,045","77","Anderor","Herb"
"259,149","3,408,473","85","Anderor","Agile"
"497,961","171,837","55","Anderor","Theiving"
"362,848","1,873,789","79","Anderor","Slayer"
"225,780","4,174,058","87","Anderor","Farming"
"405,174","371,044","63","Anderor","RuneCrafting"
"408,020","442,123","64","Anderor","Hunting"
"213,135","5,308,496","89","Anderor","Construction"
"296,323","2,433,326","82","Anderor","Summoning"
"347,999","1,647,928","78","Anderor","Dungeoneering"
"276,988","2,409,496","81","Anderor","Div"
"311,309","260,334","29","Anderor","Inven"
"292,745","72,072","46","Anderor","Arc"
"328,829","86,324,191","2,134","jardosorigos","Overall"
"655,070","644,265","68","jardosorigos","Atk"
"437,449","2,463,956","82","jardosorigos","Def"
"667,479","638,687","68","jardosorigos","Str"
"412,710","5,286,345","89","jardosorigos","Constiution"
"311,360","7,004,767","92","jardosorigos","Range"
"403,118","1,265,789","75","jardosorigos","Prayer"
"319,731","9,686,487","96","jardosorigos","Magic"
