"Player","Level","Xp"
"avven1996","99",128949121
"briandefox","99",128945694
"Gunnerleeuk","99",128944109
"Cruel Hybrid","99",128943619
"Goinpsztl","99",128943191
"Huskar","99",128942390
"Inferno700","99",128912814
"NineCo","99",128910886
"LocoKawaii23","99",128906206
"Jellefish","99",128891551
"D1LY","99",128883849
"momwuzhere","99",128858402
"Evilrage365","99",128857960
"addines","99",128852050
"Zero RnG 777","99",128851814
"Elardruk","99",128851391
"RuleFiftyOne","99",128830555
"GoogleGuy","99",128823790
"Mini Moni","99",128822765
"SavageKoo","99",128815848
"Soulsreaper","99",128809403
"Sir Clue Mul","99",128806201
"Jas","99",128805134
"Millie","99",128790514
"jojo480","99",128770987
"The Xp Phlo","99",104365769
"55H","99",104365768
"PlumBlossom","99",104365692
"Elw","99",104365617
"Ilios","99",104365615
"Kovius","99",104365607
"Jak le Rook","99",104365595
"Altyste","99",104365557
"Jehna","99",104365474
"Lisset","99",104365473
"Xarnor","99",104365463
"welcome","99",104365391
"Coga03","99",104365386
"Cream Pies","99",104365368
"Wesam","99",104365337
"Sakach","99",104365303
"TripleThree","99",104365289
"U fng wot m8","99",104365285
"xBlack Eyes","99",104365170
"custard130","99",104365169
"Tharronis","99",104365165
"Mikesgonemad","99",104365102
"Vidie","99",104365102
"BoozeFairy","99",104364986
"Rafa Boy","99",104364849
"Tynri","99",104287460
"Dinorigami","99",104287444
"Kitty Corpse","99",104287437
"Will of WVU","99",104287421
"Calquats","99",104287404
"Sharonn","99",104287328
"Captain WaZ","99",104287316
"KanonMilo","99",104287201
"VarmerZadah","99",104287196
"W I Cked","99",104287189
"Pipjon","99",104287186
"y ui","99",104287179
"Carcinojin","99",104287153
"Baroids","99",104287146
"Mijn Jeugd","99",104287133
"Ynit Nogard","99",104287096
"General eoJ","99",104287012
"Kacper","99",104286971
"Dimseee","99",104286960
"Wokaa","99",104286956
"Dobbi","99",104286936
"Arch x","99",104286911
"Hill Giant","99",104286891
"Kontact","99",104286889
"Jonnc","99",104286879
"Douce Loly","99",84018292
"Alex S","99",84016563
"Primal king","99",84011169
"Kori","99",84009231
"aBears","99",84007586
"Nickcholas","99",84007537
"Da Varney","99",83993319
"CallumGH","99",83991004
"Descenden","99",83987289
"Gracey","99",83984441
"Snurkschelp","99",83978755
"Samdv94","99",83972179
"AnY AoD","99",83968985
"Debill","99",83956475
"Scarlet btw","99",83954691
"Migwag","99",83952446
"Cult","99",83947937
"Alwayslaking","99",83945012
"C-Jammin","99",83939914
"Chopsy13","99",83936191
"Daddy Phat D","99",83932986
"Bigmamma351","99",83931926
"Omg Step bra","99",83931904
"Fog Que","99",83931160
"Satorr","99",83929957
"Mooriaa","99",59454306
"barge me","99",59450985
"Crash","99",59448968
"Soestae","99",59447550
"3M","99",59446648
"Cena6060","99",59445550
"Baren","99",59442404
"Dwarf 1","99",59438898
"Zeay","99",59438671
"Morn Stor","99",59437725
"Anastasious","99",59437454
"Stea","99",59434968
"Brenky1","99",59434630
"Magickidkac","99",59433670
"okumakurt","99",59432314
"verdwaald","99",59431663
"Oude Vogel","99",59430371
"Cabbridges","99",59428520
"Deadarf","99",59428496
"Nugge t","99",59426202
"Bik Book","99",59425283
"sasmash fee","99",59422227
"BrightEnergy","99",59421308
"back to bank","99",59421236
"Freaky_85","99",59420079
"ibowl9","99",56326888
"Shinobi One","99",56326618
"Era Poppy","99",56325907
"Farsan Baloo","99",56324908
"Aeternus Lux","99",56324830
"king69","99",56324372
"PokemonCandy","99",56321551
"Paymonius","99",56320585
"Tomeeeeeeeee","99",56320064
"Alley Cat","99",56316761
"Oxidate Me","99",56314642
"Marce TK","99",56313937
"Jmmy","99",56310611
"ScrumptysSis","99",56310242
"Idiotonastic","99",56309913
"Dak Monti","99",56308649
"Smug Anivia","99",56308291
"bond funder","99",56308188
"detremidus","99",56308014
"M4ttx","99",56307029
"Smutley","99",56299845
"HighMerch420","99",56297310
"Psyanide","99",56292549
"NewtonsJoule","99",56289373
"Rosie xo","99",56289294
"PopPopCarter","99",43382493
"Green bay113","99",43381402
"Beckyb","99",43381247
"99slay","99",43380287
"Seaspiritzz","99",43378790
"tenisplaya","99",43378746
"Bier Beertje","99",43378349
"Zerger0","99",43377236
"Ogairti","99",43376221
"Mr Floweropo","99",43375303
"XIronTotoroX","99",43374857
"Nynfia","99",43374483
"Botadinha","99",43374334
"Splunkitz","99",43374309
"Dmi","99",43374048
"Sligh2","99",43372997
"SuperJay","99",43370818
"jernaerna","99",43370747
"King Jotun","99",43370504
"Farmor","99",43370008
"lotto5000","99",43369843
"Cheat Skill","99",43366915
"Sweetpea274","99",43366662
"wilting moon","99",43366138
"Valravn","99",43364899
"Lucyfher","99",43339255
"MilesL","99",43339170
"Korosea","99",43339167
"Apollyon94","99",43337590
"ArtieElvira7","99",43336912
"Mystyc","99",43336037
"Gwyn of Sun","99",43335789
"Dr Tachyon","99",43334746
"Vyktorina","99",43334400
"L u c e n a","99",43333881
"x Keaty x","99",43333635
"Skywalk3r01","99",43332934
"Ashhell","99",43332433
"h BuRKe","99",43331558
"Nasu","99",43331071
"P L A S K","99",43330684
"Wenchs","99",43330565
"A Stutter","99",43329890
"Tribryd26","99",43329483
"Ajturtle","99",43328100
"dragonsofbir","99",43328055
"P R I M E S","99",43327661
"Big_Baguette","99",43326396
"BrokenLinks","99",43325087
"Dune2793","99",43325053
"Gramusel","99",42547814
"Skulybones","99",42547113
"Chipp6606","99",42546784
"Monkis","99",42546127
"Malhajer","99",42545885
"Aejaien","99",42545232
"x KAWAKA","99",42544914
"Supreme Ste","99",42543663
"imjeremyhi","99",42541892
"Mik Mike2","99",42541712
"Eiler","99",42541520
"Nial Veen","99",42541151
"wizard007","99",42540541
"GhostBeToast","99",42540379
"Misfit Jim","99",42539144
"K9pwner","99",42538057
"SoWhatUSayin","99",42537751
"Sol Rock","99",42535795
"Svephen","99",42535227
"yunodropm8","99",42534772
"Of_Drinking","99",42534684
"Capt Maybe07","99",42534607
"Salkrye","99",42534293
"paashaas 243","99",42533776
"Wildcat","99",42533690
"chodem0nger2","99",36953104
"New zooland","99",36951925
"Fredrik 27","99",36951849
"SammyteeXXV","99",36951694
"nikki white","99",36951023
"M E A D E Y","99",36950414
"oh Bee1","99",36946898
"Mr Antonio","99",36945988
"Creaser1","99",36944830
"Renbow","99",36944292
"Plcd2","99",36943780
"I0II00III0I0","99",36943039
"Reflectible","99",36942937
"American Pi","99",36942643
"Kick Drum","99",36942035
"Stopitjoe","99",36940352
"Little","99",36940219
"Ser Podrick","99",36939952
"Xehhi Mope","99",36939537
"kensk","99",36937229
"V838Monocero","99",36936466
"Gnome Stompa","99",36936272
"iamcino","99",36936162
"Old T00lz","99",36935487
"Relyta","99",36934912
"RockyLobsta","99",33957871
"poro rosvo","99",33957524
"Liam Mac","99",33957302
"Appletango24","99",33956910
"Rafaa","99",33956444
"Rayden Bolt","99",33956274
"Atroz","99",33955686
"deeez natsss","99",33955337
"A Lawnmower","99",33955129
"Kingfudge22","99",33954502
"Airboy","99",33953954
"Defiant","99",33953513
"AngelBits","99",33953347
"Itik","99",33952795
"Danielmax9","99",33952407
"H A L E S","99",33952324
"Precis","99",33952230
"Milagre0","99",33950818
"Fe Steven","99",33950757
"Markcolsheim","99",33950571
"Popsecret","99",33949414
"uimran","99",33947789
"Butchered","99",33947452
"Denis_Rocks","99",33947167
"Cj H","99",33946962
"Slade X","99",29725359
"tunderzapdos","99",29724367
"Odie","99",29724343
"joshuamm19","99",29723117
"Shylandurah","99",29722513
"Daxter R","99",29722403
"OG B","99",29722274
"Devilstix","99",29721726
"Mikemikey","99",29721017
"Oo Mbeezy oO","99",29719509
"Alexus 1K","99",29719169
"Jan4ux95","99",29719026
"Cinnyrator","99",29718260
"A Dark Force","99",29718139
"Duffman Sr","99",29717873
"Andgreal","99",29717368
"Thronfolger","99",29717032
"Dylaan","99",29716210
"Johny187","99",29716086
"mellonman4","99",29715964
"BlueDevil89","99",29715609
"McNurgon","99",29715441
"Man Utd FC","99",29715066
"Legolad","99",29714282
"InfamousxB","99",29714139
"Please Combo","99",27785359
"Camino","99",27784863
"Herby63","99",27784180
"Makyura1984","99",27783313
"neyka","99",27783227
"Jisdin Sider","99",27782850
"Angels 420","99",27782843
"renic","99",27782816
"Dereckl","99",27782694
"FonicsMonkey","99",27782203
"Sneaky Logan","99",27781960
"C a t h i","99",27781615
"SYLAR88","99",27780724
"Fx 2","99",27780169
"Usbad3","99",27779375
"shewhoisone","99",27778420
"Kaliapus","99",27777639
"Blud Hunter","99",27777534
"Gilbert1666","99",27777008
"Bunnee","99",27776852
"EvaVigilante","99",27776815
"I Untied I","99",27776584
"AlmightyJes","99",27775916
"Pittage","99",27775359
"Litmanen","99",27775243
"Steponaknee","99",24509609
"Ballack342","99",24509147
"Inquietus","99",24508992
"Mega Blue","99",24508266
"Arandar","99",24508136
"cicak","99",24507955
"OGLRabbit","99",24507171
"Primalforce7","99",24507017
"powerr junkk","99",24506872
"OpticAGS","99",24506610
"Get Owned469","99",24506277
"SlapTheGoat","99",24506143
"IR IH YS","99",24505913
"Promptly","99",24505718
"Rex","99",24505435
"Sjef1","99",24505201
"Slow Regal","99",24504834
"An dre w","99",24504269
"On Ur Six","99",24503932
"Zoaldan","99",24503774
"jiggajedi","99",24502962
"PwningDutchy","99",24502479
"Kylie Jenna","99",24502389
"Surferboi15","99",24502119
"Mautjuuh","99",24501762
"Gyte","99",24266171
"1P0P-SM0KE","99",24266076
"Runitboy","99",24265874
