"Player","Level","Xp"
"Wrack","99",200000000
"Deezrav3nz","99",200000000
"The_Anderson","99",200000000
"mli","99",200000000
"Existing","99",200000000
"Melee Boy","99",200000000
"Cam e ron","99",200000000
"Squidw4rd","99",200000000
"es","99",200000000
"Trenk","99",200000000
"Fuyuhiko","99",200000000
"Chow Chow","99",200000000
"ciggies","99",200000000
"Schip10","99",200000000
"Seer of War","99",200000000
"Alfie G","99",200000000
"Pupu16","99",200000000
"Nr 1","99",200000000
"Jona than","99",200000000
"coSt","99",200000000
"Brenda Jean","99",200000000
"Brentx","99",200000000
"Le Vamp","99",200000000
"Flex My Fury","99",200000000
"Chatman","99",200000000
"Kebn","99",116661797
"Heatherly","99",116660379
"Bankstander","99",116650976
"mMae","99",116642740
"d ov","99",116642039
"Screwed bad","99",116639698
"Hola","99",116634269
"Yvonne6969","99",116630584
"Taxum","99",116625323
"Espyy","99",116620369
"Oyabun Ryan","99",116612666
"Ausy ft Zink","99",116612619
"Im Taeyeon","99",116610189
"Drystreaker","99",116609273
"Whee","99",116607875
"A ldo","99",116597375
"Taihou","99",116594342
"LMN CHOI","99",116567847
"iMortem","99",116562816
"C U T E Noob","99",116561441
"xp WOLF","99",116558191
"Bone Bruise","99",116555909
"Mortal Bacon","99",116555225
"Iw4","99",116553437
"DennisssV","99",116548125
"Kleiki","99",106656853
"clueless1","99",106655468
"Rush2426","99",106654539
"Cast33","99",106654318
"Poop Dyed","99",106651402
"Leonadiis","99",106651280
"ybb","99",106648680
"Stephoscope","99",106648208
"Sterbz","99",106648043
"Sirwafflez","99",106645651
"Queenvalerie","99",106643178
"Raffaele","99",106639543
"Hugopluks13","99",106634302
"Red Cobra619","99",106625820
"Hammy14","99",106624588
"Mestre Bob","99",106621136
"BlueSkyBlue","99",106619970
"Soupcan Sam","99",106619531
"l Grinch l","99",106618070
"New Shadow 2","99",106617972
"Lilla My","99",106617884
"Ex903","99",106615510
"tempiale3","99",106614403
"Me As Well1","99",106611802
"M G N","99",106611431
"Pumpk1ng","99",96429072
"ashwin","99",96426678
"Bluppeh","99",96426432
"Couvade","99",96423995
"Skygg","99",96418281
"Fallen Frey","99",96414505
"Brickade","99",96407658
"Vykren","99",96401744
"Bikt","99",96398595
"BIackout","99",96388313
"Randys Gut","99",96376306
"Havoc 614","99",96374538
"Lombdas","99",96374526
"Money Baz","99",96358939
"Voxen","99",96354035
"Kinda Goku","99",96353303
"Brother Laz","99",96351953
"iTroll","99",96343743
"Rogonie","99",96342856
"Sake","99",96341764
"Hurricane178","99",96339317
"Pyrokar Mage","99",96320876
"Surukuu","99",96319339
"Big N Bored","99",96310190
"Allyssaa","99",96309033
"Toverdoos","99",88796521
"Andrade149","99",88793450
"Firedude16","99",88792176
"Pietske","99",88788049
"coldasice34","99",88786803
"CheesyFries","99",88784844
"ChillPhilipe","99",88775090
"BrugesFC","99",88768347
"Acid Tests","99",88755731
"Pixiiee","99",88753248
"Einjharr","99",88752291
"Kaizoku Ace","99",88750427
"Chivvalry","99",88742608
"Santa Nex","99",88739782
"Willia","99",88738181
"Voven","99",88735836
"2E4","99",88731269
"PGT EdsonC","99",88725685
"Monkojin","99",88712356
"Bunny Years","99",88705429
"Crowriel","99",88702282
"Mindus Zeus","99",88693376
"4gp Roran","99",88692968
"Jesica","99",88692572
"Traviidon17","99",88691774
"Fapples","99",69169320
"Aegis XIII","99",69167514
"Selrahc49","99",69161415
"DrGreenThmb","99",69161300
"RukoYokune","99",69158929
"B i ll y","99",69157652
"Simon Pope","99",69155313
"Lavits","99",69150250
"Gooombah","99",69147683
"PlayRsAllDay","99",69146585
"aye up duck","99",69145226
"Hobune","99",69142649
"13 Queefs","99",69135841
"Hell Armada","99",69129136
"Kotsm","99",69123754
"SaintRossi","99",69122978
"2 Hearts","99",69121916
"Amy Gus","99",69120620
"Oh Hi Marc","99",69118698
"Diddin","99",69117938
"TestingRng","99",69116700
"Team Misha","99",69113886
"Uh Damn","99",69112537
"Lacorsta666","99",69112138
"Ex-Deathevn","99",69108985
"JayProudmore","99",67794954
"Cle","99",67793034
"qqv","99",67785245
"J son","99",67784903
"LeBron James","99",67783107
"Do Inferno","99",67782295
"gbrZERA","99",67782185
"The Mask","99",67781910
"Winterdream","99",67781648
"Kholmas","99",67781306
"PVGOD","99",67777586
"Aprilinabox","99",67776890
"Ferocca","99",67776838
"Jujuzist","99",67772715
"m00d l0rd","99",67772588
"j2230","99",67767702
"eyeofdedevil","99",67763781
"Coal Boy","99",67763760
"SugarBear","99",67763169
"Kronosian","99",67760740
"a warm glow","99",67759837
"I gnite","99",67757340
