"Player","Level","Xp"
"BO1NK","99",200000000
"Lee M","99",200000000
"PA","99",200000000
"Durkee25","99",200000000
"Pheyded","99",200000000
"ImSoThresh","99",200000000
"Tommyjjh","99",200000000
"Z a a g","99",200000000
"Kingadd","99",200000000
"Astrology","99",200000000
"Mrs Rah","99",200000000
"Perplex me","99",200000000
"Dos Equis XX","99",200000000
"Munnibee","99",200000000
"Rs M age","99",200000000
"ZipL","99",200000000
"I am Warlock","99",200000000
"Demon Pope","99",200000000
"Vulas","99",200000000
"Radicalism","99",200000000
"KiwiChuu","99",200000000
"Havokki","99",200000000
"Seis Matters","99",200000000
"Evrailiya","99",200000000
"Mike Rose","99",200000000
"Yoram","99",200000000
"Shy Geist","99",200000000
"Myune","99",200000000
"Su zi","99",200000000
"Zillion","99",200000000
"Yannickj96","99",200000000
"me nan","99",200000000
"fzzybnyslprs","99",200000000
"Off Idiot","99",200000000
"Jere","99",200000000
"Joseph115","99",200000000
"Vaporents","99",200000000
"Cuddlybear","99",200000000
"Ralle","99",200000000
"wyld","99",200000000
"Rouqe","99",200000000
"Solo-Lauch","99",200000000
"vespa Purr","99",200000000
"W a x y","99",200000000
"c01ey","99",200000000
"HeartKeeper","99",200000000
"VoS Madchild","99",200000000
"Perfuma","99",200000000
"Tocsick","99",200000000
"Geht Ja","99",200000000
"Blake T","99",179086211
"Homeruns","99",179084697
"Sozza","99",179018179
"Pineapple247","99",179014923
"After Me","99",178990664
"Hotwheel","99",178988671
"240 sx","99",178986047
"Wildman503","99",178964129
"Iron Mist","99",178958267
"Uranium Atom","99",178941943
"Living Death","99",178933761
"Madsjpj","99",178893347
"Toebus","99",178859061
"I are Smart","99",178827301
"DR12","99",178809595
"Switch","99",178780921
"Mr Moneyhold","99",178774224
"JackDG","99",178753150
"YamIhere123","99",178736008
"Freakabby","99",178719829
"Klavs","99",178714606
"Nosim 1","99",178701114
"Ice5566","99",178683582
"No Pls","99",178681420
"xRICEE","99",178664076
"KH_7","99",134935707
"Melissa","99",134927017
"Zorithoma","99",134925706
"ShardOfZaros","99",134896053
"Riyo","99",134882233
"Soul divine","99",134864198
"Xijaxa","99",134846834
"Tobias Ds 2","99",134845858
"Tamem","99",134844448
"J ekk","99",134843432
"Astaroth Fox","99",134842357
"I am Lazy","99",134840391
"AntiRatz","99",134829805
"Akumadere","99",134809616
"Kircol","99",134788656
"Jamus99","99",134776023
"High Hand5","99",134747343
