"Player","Level","Xp"
"Juli69xd","99",200000000
"Kieran","99",200000000
"Cutester","99",200000000
"Callum UK","99",200000000
"Asyn","99",200000000
"Szwagier","99",200000000
"300","99",200000000
"Lynda","99",200000000
"vaht","99",200000000
"Squirrels","99",200000000
"PINK boots","99",200000000
"Lees Slut","99",200000000
"Kerel","99",200000000
"TearGod","99",200000000
"Pheeel","99",200000000
"Velkhana","99",200000000
"Chat Noir","99",200000000
"Nazpsycho","99",200000000
"Treycoolyo","99",200000000
"Sieze","99",200000000
"Ziga","99",200000000
"WOUZZY","99",200000000
"Shane0313","99",200000000
"Mr Jinglez","99",200000000
"Prafost","99",200000000
"Tite buthole","99",200000000
"Yuno no Hiro","99",200000000
"N00biistyl","99",200000000
"Hastings I","99",200000000
"J ulian","99",200000000
"Akin Ankh","99",200000000
"Yelps Slayer","99",200000000
"Tobydog16","99",200000000
"Seppku","99",200000000
"Saezuru","99",200000000
"Alucard X","99",200000000
"Ghp","99",200000000
"Sweet Life","99",200000000
"Kenzwho","99",200000000
"Flosje","99",200000000
"Shattered 7v","99",200000000
"y ato","99",200000000
"Vyreling","99",200000000
"The Elders","99",200000000
"Tkui Veukh","99",200000000
"freatle","99",200000000
"Ral Grad","99",200000000
"xSammers","99",200000000
"da magma man","99",200000000
"Hellmouth13","99",200000000
"Pls30","99",200000000
"Ice Tiger","99",200000000
"Power SY","99",200000000
"57spider2672","99",200000000
"DeM_O","99",200000000
"Karu41","99",200000000
"I Thai Long","99",200000000
"Awesomehobo","99",200000000
"Escada Afk","99",200000000
"Alice Forlys","99",200000000
"AwesomeAaron","99",200000000
"Mad Grin","99",200000000
"DarkndDragon","99",200000000
"perqulez","99",200000000
"booN lluF","99",200000000
"Smartly Done","99",200000000
"VelozoVelozo","99",200000000
"Vulnerable","99",200000000
"The Voyeur","99",200000000
"Archaelogy","99",200000000
"Legio","99",200000000
"Edimmus","99",200000000
"Libel1337","99",200000000
"BenjaminProf","99",200000000
"Thy Redeemer","99",200000000
"Greylen","99",158339280
"very online","99",158339023
"Kali Yuuna","99",158336698
"Moosie","99",158328875
"RivieraKid","99",158292702
"slayerboss91","99",158251420
"Abe Da Great","99",158240257
"SetNasty","99",158236179
"Cria","99",158216092
"L uui","99",158214878
"M3Leer","99",158200697
"Bing Boing","99",158200414
"No 55","99",158188865
"Jiffster","99",158161761
"Dune Racer2","99",158146672
"kojo","99",158137325
"taleyy","99",158111563
"Stardamage","99",158084989
"Lone Wolf289","99",158070774
"SerialReturn","99",158067484
"BY0","99",158064810
"A1mosteven34","99",158055050
"Agent Hax","99",158035922
"Deku-One","99",158015324
"Yung KDA","99",158004394
"NisiOisiN","99",130460783
"ElmoTional","99",130458405
"andy creps","99",130437511
"the fhattys","99",130435527
"furling","99",130434876
"Tidedoodle","99",130425900
"Oh Duck","99",130423117
"A gro","99",130420676
"Smudgiz","99",130417911
"Failed Taco","99",130415166
"gt5fan95","99",130393282
"Elys","99",130388914
"Kaywin","99",130386340
"Agent Smith","99",130384873
"IAmThatIAm","99",130373300
