"Player","Level","Xp"
"spilon52","99",195721223
"Lletya","99",195701023
"Iarann Dia","99",195595629
"kystonninen","99",195593387
"veng3nce O_o","99",195584653
"as beck","99",195557302
"Maid in Aus","99",195532010
"Crazy Duh","99",195530635
"RAWTHOTDOG","99",195448128
"Zez","99",195431047
"Nichpett","99",195355623
"Dunkelelf","99",195341151
"SUURMlES","99",195340484
"mercality","99",195324414
"Temnikova","99",195320318
"AmazingGoose","99",195276911
"Lemonade","99",195262439
"Irualdemon","99",195234616
"Stracci","99",195233703
"Any Giftas","99",195209562
"Sakura Akane","99",195208657
"Ethicist","99",195167304
"Calenon","99",195146697
"noPKbullying","99",195141488
"Be Mine","99",195117750
"croxolife","99",121558171
"S 3 4 N","99",121551102
"Skcus Senur","99",121547348
"Big Yell oh","99",121528132
"Ellijawr","99",121525674
"Gokui","99",121522708
"MD Harvard","99",121521998
"Jo Cold","99",121514628
"Tank Drop","99",121502434
"SolaKMS","99",121498364
"W r f","99",121496055
"Arki Mhar","99",121473332
"Chaos Falso","99",121470390
"Sumi Sam","99",121467393
"Lost Requiem","99",121463623
"Aquila","99",121463111
"Usadabest","99",121461238
"nahtan","99",121457572
"Gf Im","99",121455953
"I Pwner I","99",121442974
"s v e n","99",121440209
"Xavier DK","99",121438425
"Stadux","99",121435618
"Mr Optical","99",121434166
"N anica","99",121425714
"A Raw Dingus","99",119172728
"Snuggles83","99",119147173
"Jay Demons","99",119139001
"Someone","99",119138746
"Kirara Asuka","99",119136770
"Au Dragon","99",119133646
"qwerfwrt3434","99",119113958
"Manowar","99",119108853
"Beah","99",119100510
"Wuuut","99",119094440
"King KenX","99",119086885
"Tanvi","99",119085698
"Kid Super","99",119081676
"Corona Vac","99",119081247
"Spike10110","99",119065944
"Kovaer","99",119064611
"MEGA LETHAL","99",119061470
"Bass of Sea","99",119060071
"Wormies","99",119051864
"Wolf Brink","99",119046192
"Saltie Llama","99",119038142
"kilo noob05","99",119032302
"Eero","99",119029433
"Tater Tott","99",119016417
"B O O P","99",119011550
"Airhiel","99",109845954
"Zentetsu","99",109844723
"Foutjeh","99",109840814
"Trombones","99",109838942
"Enlil 48","99",109835843
"One TreeHill","99",109833324
"TiMachine4qc","99",109832176
"Midi-san","99",109831007
"LucienRvndwl","99",109830445
"Vein","99",109830340
"mikkelpirat","99",109828999
"Tau_ri","99",109821067
"AMERICAN jim","99",109802565
"Wildstalker","99",109800941
"SDA333","99",109800695
"is wee","99",109798725
"LULoknobye","99",109795727
"Trxy","99",109791965
"Grampa Fon","99",109787104
"Sneaky cake","99",109785868
"Lady Aliffa","99",109785506
"lemow","99",109778536
"M isty","99",109774963
"Mirize","99",109774727
"triggehappy","99",109774220
"TEACHER1480","99",100940680
