"Player","Level","Xp"
"x Hyphy x","99",200000000
"Alphamon","99",200000000
"Arqueirobr13","99",200000000
"Jericho VII","99",200000000
"Mat0w","99",200000000
"0pO","99",200000000
"Spin2Win50m","99",200000000
"Lixdy","99",200000000
"RenegadePM","99",200000000
"PvtChernobyl","99",200000000
"TIM0","99",200000000
"Jimchall","99",200000000
"ArcherODeath","99",200000000
"Robert11223","99",200000000
"SS4 Geeezus","99",200000000
"Wireless","99",200000000
"chopperznefu","99",200000000
"VlNCE","99",200000000
"FakeAU","99",200000000
"PancakeStak","99",200000000
"Seymourr","99",200000000
"Chariles","99",200000000
"SupImTyler","99",200000000
"Sn4kee","99",200000000
"GB1","99",200000000
"Jumpy","99",182186574
"MaxZeroWill","99",182182766
"Corrupt3d","99",182176878
"Papoi","99",182175248
"FrostLord","99",182173332
"Weezer","99",182156940
"Sorairo Days","99",182130532
"AWS-RIP","99",182117156
"ventess","99",182086362
"Icy Stryke","99",181988663
"Tobee","99",181974400
"Zuboido","99",181974370
"miaow","99",181939960
"Immer Allein","99",181932028
"Ben1","99",181879372
"Experiment","99",181868107
"kingsara307","99",181852757
"Troll464","99",181847971
"Zoparse","99",181810189
"Sohee","99",181802517
"PW1","99",181784726
"Hot Garby","99",181771604
"Tuffscape","99",181731039
"Algebro","99",181725460
"Laambs","99",181705637
"bongalot","99",124464356
"Catch A Vibe","99",124457056
"Eetu214","99",124450422
"Shlippi","99",124439644
"sbuT","99",124428342
"Iodene","99",124425702
"O1iver","99",124393077
"K U M","99",124392978
"Reind","99",124392284
"Gaymer Boy","99",124383352
"DraKoo","99",124374247
"Lava Dragons","99",124372874
"Aens","99",124364338
"Andy Daddy","99",124348357
"Scheidt","99",124330110
"City Heights","99",124328954
"Cali Girl","99",124327428
"DP Hedman","99",124322991
"Spirit Onyx","99",124321874
"CookiesKing","99",124311995
"BadMass","99",124301146
"Eggs Rule70","99",124299935
"Osten","99",124299591
"Lets","99",124293521
"tankstar","99",124287699
"Vulsuthek","99",109541709
"Palko","99",109540145
"Jay-Siff","99",109539039
"MxChrisxM","99",109536062
"GlaivenRS","99",109535043
"kinnpin","99",109534550
"Ace of Heart","99",109534418
"Virus Ghost","99",109534261
"Syphinx","99",109533405
"Made","99",109530952
"Bob Sagggit","99",109525616
"grannyquilts","99",109521418
"Avias","99",109520759
"Snapaj500","99",109517035
"DorkDrDalek","99",109515784
"Im Unlucky","99",109514429
"Fuh Qyu","99",109509954
"FOXY X","99",109504005
"PemWelsh","99",109502136
"4Trevos","99",109499626
"Dozzer","99",109499216
"Con69","99",109495697
"G0df","99",109491248
"Pixlated","99",109488089
"Redtyke","99",109484207
"Suyin","99",105217964
"IceStark","99",105217743
"DanV96","99",105217613
"Gold plzz","99",105217252
"Eveline","99",105216803
"ickuh","99",105216487
"Fariha","99",105215980
"Jas Mark","99",105215699
"Nekoshade","99",105214119
"M A G E boy","99",105212649
"A Cape","99",105212542
"M_Saiyan","99",105212298
"1893","99",105212090
"rs3Lewee","99",105211886
"Crazmaster4","99",105210572
"Lisianthus","99",105209811
"RogueFox14k","99",105209213
"stilleto22","99",105209101
"BSD Boss","99",105208285
