"Player","Level","Xp"
"Meet Demise","99",109662999
"Angel Azrael","99",109661755
"PrinceV3G3TA","99",109660925
"Eevees","99",109653947
"Farting cat","99",109653758
"RaddleSnake","99",109651088
"Wannes","99",109649652
"Pr0 Messi10","99",109649605
"Ariya","99",109643731
"ENVY MN","99",109643665
"whatsxp","99",109640677
"Dustellno","99",109640269
"Axelix","99",109637410
"Kitorie","99",109634636
"Baby Face","99",109630484
"Bubby","99",109629998
"K illy","99",109626836
"Josumi","99",109622710
"I am not Gui","99",109622674
"GodsRusher","99",109620347
"Tifa says Hi","99",109617805
"Antonar","99",109616609
"Trphybwlr","99",109615232
"Sir Colins1","99",109610877
"uSure","99",109610023
"Lachy","99",104774248
"DVI-D","99",104774097
"Venussaur","99",104773995
"Yp100","99",104773985
"EliteClues","99",104773861
"Igglet","99",104773570
"Fatboy6","99",104773551
"llRevolveRll","99",104773287
"Deicard","99",104773024
"gingerbean","99",104772932
"Wertart","99",104772894
"Giant James","99",104772606
"Lamboy95","99",104772262
"Blindmanx2","99",104772172
"Appearances","99",104771734
"Bloober98","99",104771529
"Darkside","99",104771095
"J P","99",104770921
"hibiol","99",104770844
"Pretaar","99",104770486
"S-Wernicke","99",104770082
"Kugaman","99",104770037
"Takesy","99",104768949
"MATRIX 2015","99",104768730
"Twisterzinho","99",104768528
"Verasele","99",85388582
"Torii","99",85385362
"NeverChilled","99",85384784
"linchpinn","99",85380416
"Quien","99",85379699
"SpecHawk","99",85376866
"Qwertqwert20","99",85375331
"Tominater44","99",85368707
"Vasther","99",85365614
"Qazxde","99",85350215
"Fwoggie","99",85350042
"Dragon Kin","99",85349740
"Darkpaw0","99",85342979
"R3dxfaction","99",85341535
"DaWolfie","99",85336200
"3rdEye View","99",85314669
"I Pelagic I","99",85310039
"Striking Leo","99",85301153
"J0kerfate","99",85299772
"MkyDLuffy","99",85294826
"hinnemon","99",85272961
"Yelawolf","99",85267631
"bioshockn","99",85262908
"Knurl IM","99",85260617
"wanderelite","99",85260231
"SmoothAFk","99",84794131
"SaltyFirefly","99",84793831
"l2eallycold","99",84790909
"Mister Freek","99",84790251
"benzzii","99",84783409
"Haulsy","99",84777412
"Nin san","99",84776034
"Godfather OG","99",84773309
"Yew Name","99",84763109
"LatinLove","99",84761804
"De Leeuw","99",84759464
"Highoctane","99",84753106
"Pupus819","99",84744378
"Meltedrazor","99",84742198
"Prince Zuko","99",84741459
"Libertherme","99",84738145
"Royal Hilt","99",84735399
"Timo R","99",84731686
"ClearSkies","99",84726189
"pkujn","99",84725787
"Mtoise","99",84723305
"Rs Wes","99",84722998
"Triple   B","99",84721841
"Globalizing","99",84721326
"rolypoly","99",84688399
"Zellixx","99",80304577
"Axa","99",80303537
"Jeba","99",80302348
"Mustardy","99",80302251
"Apollo Bay","99",80290070
"Kenkaku","99",80282201
"Uglybogey","99",80270253
"UFC 65","99",80267678
"Matu","99",80262513
"TorvaMesser","99",80260078
"Doom wc","99",80259142
"Lucas Dracoy","99",80257604
"Birdface","99",80257239
"Lucianno","99",80256844
"Synister","99",80256067
"Koencl2","99",80255499
"Kaisa3k","99",80251784
"ll Diamondz","99",80247094
"RECTmetal","99",80245897
"Androme","99",80236508
"Arcayos","99",80235863
"Elysian Eva","99",80232696
"Papa xx","99",80232330
"The Zen Path","99",80227471
"Walternoord","99",80224595
"Aussie Jamie","99",75376742
"Blue Irelia","99",75375274
"Bow String","99",75374162
"Lofiy","99",75373575
"Daft Puft","99",75372004
"I Am Verac","99",75369589
"Valvar D ark","99",75365354
"The Pro Pope","99",75360760
"humble tony","99",75356404
"D39d Pl0x","99",75351046
"Hannibal 000","99",75350644
"Meotora","99",75350023
"Yll","99",75347567
"Honaz","99",75344936
"TheLastSkin","99",75344365
"Ayvarr","99",75342115
"Popcorn12345","99",75335293
"The Kaiser","99",75334007
"Maurenada","99",75331038
"Rotting Soul","99",75330875
"Tein","99",75329829
"Nova Qwerty","99",75328186
"Haydn W82","99",75327602
"VAPE JUMALA","99",75324033
"Follow Me","99",75318211
"Slin","99",69892931
"Hellcell66","99",69888930
"Corrion","99",69887075
"Voltrigger","99",69882211
"Fun Casket","99",69880273
"Kebbie","99",69879994
"Alexandra","99",69879447
"TotalDed","99",69878264
"Its Jung","99",69877656
"WwWw","99",69877107
"HuikeeTommi","99",69873019
"Graut93","99",69869608
"LilSpazzor","99",69867383
"Don Twiz","99",69866870
"hasFrank","99",69864851
"Jan der Mann","99",69864189
"Taviux","99",69859668
"Makka","99",69858284
"Cornelijus","99",69855651
"D Martin","99",69853374
"woutiboutie","99",69853095
"kales salad","99",69849811
"Duachim","99",69849018
"Blue pl","99",69847179
"findeli","99",69842938
"haythem ken","99",62487164
"xanthareborn","99",62485491
"Dyna Bunny","99",62485478
"KonpakuYoumu","99",62485472
"John R","99",62485279
"AlphaArietis","99",62485265
"YFB","99",62484440
"Arrow Knife","99",62483890
"StoneCold VS","99",62483368
"Traxadrom","99",62478659
"Din Sayu","99",62478035
"Aninha","99",62476670
"bootymath","99",62474462
"Aminishit","99",62472440
"Elayot","99",62471655
"BeerFlask","99",62471094
"Don D Aigo","99",62467701
"Gabe Oykok","99",62467550
"Penske File","99",62464721
"Roll damage","99",62464113
"Inky","99",62459991
"imly109","99",62458877
"Im Railing","99",62458688
"The Maker","99",62454443
"Chazzasaurus","99",62453360
"SamRusso","99",62452687
"Yumizuno","99",62443213
"Ryuuzaky","99",62440143
"UtahJazz","99",62439102
"nathan fx14","99",62438590
"Killerfist B","99",62436366
"Pluktuffere","99",62435241
"GEMSTAR","99",62434663
"Nash Digby","99",62434212
"dude x","99",62433948
"Dark Paladin","99",62433762
"ISlayerAngel","99",62433473
"Care Plane","99",62432542
"Sad Shiro","99",62429128
"Tserocki","99",62428727
"ur noob","99",62426051
"darkpkmastr","99",62425711
"Dark Samus","99",62425298
"U R Ugly 11","99",62425005
"Maraton88","99",62422428
"Sevvagoth","99",62417445
"Mihavvk","99",62417330
"Static Rain","99",62416233
"F i n","99",62416044
"Black Toad23","99",62415641
"Ibby Kay","99",46403824
"Vled","99",46403357
"louielou","99",46403281
"Perlasigil","99",46401078
"Anth","99",46400781
"Lex 27","99",46400388
"Thwing","99",46399572
"Tij","99",46397927
"Nimsy","99",46393553
"Fein","99",46392783
"Da Masta","99",46392631
"Tsu","99",46391548
"R U S S O","99",46391428
"Soul Splita","99",46391010
"Russell836","99",46389379
"dakine43","99",46388384
"Bumbum000","99",46387669
"Derfreack","99",46386409
"Pure Secsy","99",46386085
"Wubs","99",46385004
"Jevled","99",46383218
"fxku","99",46381483
"Cybellin","99",46381327
"AquaSound","99",46380770
"Fatehalowen","99",46380087
"Deaneeeboy","99",38916107
"Anubis Angel","99",38915378
"To LOVE-Ru","99",38915315
"Adde1102","99",38914986
"floor28","99",38914757
"Pink Sheeps","99",38913474
"Keizer","99",38913199
"akaly7main","99",38912296
"metallitard","99",38912145
"Pso Chaos","99",38911377
"Jasper_72","99",38910733
"xTnTx FIRE","99",38910581
"TheBoxEater","99",38910293
"Fireking452","99",38910206
"TDX","99",38909371
"2weas","99",38909034
"Chikon_Bruv","99",38908957
"Legal Loli","99",38908529
"Grico hunter","99",38907485
"Alderaan","99",38906571
"Darkyyyy","99",38905852
"Isbix","99",38905334
"Y Ugot 0 Hp","99",38904690
"Carldawiz","99",38904309
"A n g e l","99",38903398
"Link of w99","99",38361964
"Rodhlan","99",38361052
"Optimus Duck","99",38360848
"c0rsa1r v2","99",38359929
"Kaii","99",38359876
"Expectfail","99",38358566
"Candey Styx","99",38357112
"B MW","99",38357031
"kayleh","99",38355833
"Atgeir","99",38354996
"BurghDeRott","99",38353841
"Wolfmanjz","99",38353604
"Niall Kay","99",38352857
"Yuvia Fria","99",38352104
"Major T0m","99",38352037
"E-Type","99",38351526
"Geogeo71","99",38349191
"Ragnarok72","99",38348883
"kannkz","99",38348528
"Read","99",38346944
"T_R_O_Y 93","99",38345824
"Anumai","99",38345636
"Minior","99",38345485
"Btfarm","99",38344899
"Vune","99",38344576
"Cambion","99",33743326
"Dudden","99",33743281
"Ripper Zed","99",33742395
"Kathlein","99",33742253
"I Take Namez","99",33742099
"jacksonknew1","99",33742007
"tehjagjr","99",33741645
"Cpt Pappa","99",33741044
"Chimneys","99",33740939
"Yondel","99",33740489
"derpilzige","99",33740479
