"Player","Level","Xp"
"Bill Gates","99",200000000
"Xps","99",200000000
"SlayPoints","99",200000000
"The Korny","99",200000000
"Rayno","99",200000000
"DiddyBop","99",200000000
"Oryci of RS","99",200000000
"Hupw","99",200000000
"J ord an","99",200000000
"Pitbull","99",200000000
"Newtimes","99",200000000
"Rizwildez","99",200000000
"Dethoking69","99",200000000
"Elfir Ytsur","99",200000000
"wilwem","99",200000000
"Holy Gandalf","99",200000000
"Trimmed Imp","99",200000000
"Xanax30","99",200000000
"Naptime Jay","99",200000000
"Laith","99",200000000
"Zulu Jigsaw","99",200000000
"boyjerremy","99",200000000
"AudioInput","99",200000000
"Dustinni","99",200000000
"AntiRoos","99",200000000
"Itsmoedw","99",104598313
"Drella","99",104598299
"Its Pau","99",104598047
"WarriorAmar","99",104597924
"Drevniy","99",104597637
"Mc Mano Brow","99",104597469
"ding wil","99",104597294
"Tap n gap","99",104597274
"Azenai","99",104597235
"Savagedx4","99",104597104
"Magy Hazy","99",104597014
"Zarzosa","99",104596820
"Marks of War","99",104596372
"Myalana","99",104596320
"Edi Samuel","99",104596288
"Ayhet","99",104596154
"Zenty","99",104596134
"Nat5iq","99",104596004
"Linekolunu","99",104595934
"onlySmile","99",104595852
"Baulii","99",104595607
"Kingjr199","99",104595456
"2MSOHAPPY","99",104595059
"X_Gera_X","99",104594574
"Rcpellicci","99",104594500
"Anibal","99",104459802
"Diabetes","99",104459657
"Bl_nkspace","99",104459651
"Eltras","99",104459588
"Darth Akh","99",104459019
"Drizzt Wrath","99",104459005
"Fendrasil","99",104458912
"O Talamoni","99",104458785
"CiburaskaLTU","99",104458675
"I Never Key","99",104458639
"Sacae","99",104458455
"NathanMorrow","99",104458348
"Aura2","99",104458331
"Sir Eve Alot","99",104458324
"Luscaas","99",104458240
"A Y33T","99",104458090
"Amy Marie","99",104458068
"Sword287","99",104457969
"Dupy","99",104457966
"CoolMiner4","99",104457752
"Tetsu Josh","99",104457689
"Ci t","99",104457578
"Khopeshs","99",104457430
"Raesul","99",104457301
"caballer 6","99",104457126
"iFishy","99",100621992
"Descentte","99",100620924
"Razors DIY","99",100615320
"lbiza","99",100604417
"MyStargazing","99",100598641
"Angell xx","99",100580507
"Beniaminoo","99",100578287
"GreatPoet","99",100575518
"53 Calm","99",100572372
"Anthien","99",100562509
"Dark Dim Mak","99",100560919
"potato vga","99",100556687
"Cripler","99",100536544
"Dan Lockett","99",100525565
"Mac Attact","99",100523008
"MissBonkers","99",100521793
"d3lema","99",100509219
"iRrman","99",100509142
"belgium war","99",100502990
"A r n e l","99",100493927
"IVIurer","99",100489761
"onFyre Jason","99",100488785
"Bexxy","99",100487008
"Bianc","99",100473010
"JohnnySlays","99",100470026
"I Found Love","99",85162780
"Scott Laid","99",85154010
"Drixxy","99",85153714
