"Rank","Total XP","Level","Player","Skill"
"292,948","74,420,295","2,243","fufumiko","Overall"
"418,246","2,807,640","83","fufumiko","Atk"
"441,799","2,314,244","81","fufumiko","Def"
"477,347","2,247,765","81","fufumiko","Str"
"451,128","3,693,652","86","fufumiko","Constiution"
"407,411","2,474,099","82","fufumiko","Range"
"398,699","1,298,937","75","fufumiko","Prayer"
"455,654","2,445,798","82","fufumiko","Magic"
"372,102","2,127,153","80","fufumiko","Cooking"
"415,951","2,235,502","81","fufumiko","WoodCutting"
"377,470","2,142,203","80","fufumiko","Fletching"
"387,101","1,633,444","78","fufumiko","Fishing"
"277,977","7,635,666","93","fufumiko","FireMaking"
"319,161","2,688,557","83","fufumiko","Crafting"
"316,672","3,270,937","85","fufumiko","Smithing"
"301,239","3,539,781","85","fufumiko","Mining"
"377,896","1,227,752","75","fufumiko","Herb"
"237,924","4,580,162","88","fufumiko","Agile"
"206,604","6,101,866","91","fufumiko","Theiving"
"312,840","3,355,932","85","fufumiko","Slayer"
"293,577","1,230,671","75","fufumiko","Farming"
"279,617","1,457,874","76","fufumiko","RuneCrafting"
"245,549","2,699,580","83","fufumiko","Hunting"
"341,151","1,295,570","75","fufumiko","Construction"
"360,655","1,125,678","74","fufumiko","Summoning"
"365,975","1,352,005","76","fufumiko","Dungeoneering"
"289,007","2,272,184","81","fufumiko","Div"
"286,069","1,098,380","42","fufumiko","Inven"
"159,121","4,067,263","87","fufumiko","Arc"
"342,176","183,177,154","2,090","BDundeadv4","Overall"
"650,977","643,889","68","BDundeadv4","Atk"
"296,397","12,057,867","98","BDundeadv4","Def"
"624,704","804,474","70","BDundeadv4","Str"
"365,843","7,610,097","93","BDundeadv4","Constiution"
"890,035","29,080","37","BDundeadv4","Range"
"466,819","696,815","69","BDundeadv4","Prayer"
"302,381","12,132,241","98","BDundeadv4","Magic"
"252,133","9,754,886","96","BDundeadv4","Cooking"
"449,089","1,930,357","79","BDundeadv4","WoodCutting"
"780,556","25,070","36","BDundeadv4","Fletching"
"168,218","13,888,055","99","BDundeadv4","Fishing"
"343,567","3,295,332","85","BDundeadv4","FireMaking"
"207,828","11,863,110","98","BDundeadv4","Crafting"
"21,851","48,163,420","99","BDundeadv4","Smithing"
"207,882","13,110,540","99","BDundeadv4","Mining"
