"Rank","Total XP","Level","Player","Skill"
"294,558","112,747,389","2,240","Atelophobic","Overall"
"402,605","3,319,546","85","Atelophobic","Atk"
"408,088","3,328,673","85","Atelophobic","Def"
"433,589","3,273,198","85","Atelophobic","Str"
"376,826","7,090,514","92","Atelophobic","Constiution"
"351,805","4,541,685","88","Atelophobic","Range"
"345,463","2,999,682","84","Atelophobic","Prayer"
"326,384","9,024,049","95","Atelophobic","Magic"
"402,226","1,692,820","78","Atelophobic","Cooking"
"379,215","2,750,361","83","Atelophobic","WoodCutting"
"395,118","1,989,752","80","Atelophobic","Fletching"
"352,206","2,149,719","80","Atelophobic","Fishing"
"493,778","932,971","72","Atelophobic","FireMaking"
"356,583","2,185,491","80","Atelophobic","Crafting"
"301,663","3,973,069","87","Atelophobic","Smithing"
"357,205","2,208,171","81","Atelophobic","Mining"
"341,081","2,138,357","80","Atelophobic","Herb"
"247,773","3,939,372","86","Atelophobic","Agile"
"294,754","1,252,760","75","Atelophobic","Theiving"
"327,148","2,845,556","83","Atelophobic","Slayer"
"190,349","10,149,059","96","Atelophobic","Farming"
"275,484","1,538,307","77","Atelophobic","RuneCrafting"
"217,929","4,711,868","88","Atelophobic","Hunting"
"267,927","2,354,654","81","Atelophobic","Construction"
"307,885","2,077,019","80","Atelophobic","Summoning"
"98,762","26,279,679","106","Atelophobic","Dungeoneering"
"227,622","3,848,319","86","Atelophobic","Div"
"319,806","147,021","25","Atelophobic","Inven"
"387,217","5,717","22","Atelophobic","Arc"
"51,275","1,722,690,935","2,869","FrEeToKiLlU","Overall"
"185,817","14,488,206","99","FrEeToKiLlU","Atk"
"148,759","19,718,342","99","FrEeToKiLlU","Def"
"30,770","78,952,717","99","FrEeToKiLlU","Str"
"86,837","58,586,466","99","FrEeToKiLlU","Constiution"
"76,134","43,345,669","99","FrEeToKiLlU","Range"
"10,874","104,829,762","99","FrEeToKiLlU","Prayer"
"116,402","24,748,814","99","FrEeToKiLlU","Magic"
"18,970","43,547,435","99","FrEeToKiLlU","Cooking"
"98,172","15,622,228","99","FrEeToKiLlU","WoodCutting"
"20,800","32,397,655","99","FrEeToKiLlU","Fletching"
"14,583","106,641,838","99","FrEeToKiLlU","Fishing"
"17,065","104,517,321","99","FrEeToKiLlU","FireMaking"
"8,303","106,172,358","99","FrEeToKiLlU","Crafting"
"9,328","106,476,948","99","FrEeToKiLlU","Smithing"
"14,388","107,125,161","99","FrEeToKiLlU","Mining"
"24,899","109,923,807","120","FrEeToKiLlU","Herb"
"39,505","25,816,018","99","FrEeToKiLlU","Agile"
"63,916","23,366,627","99","FrEeToKiLlU","Theiving"
"40,562","107,002,202","120","FrEeToKiLlU","Slayer"
"20,168","143,545,395","120","FrEeToKiLlU","Farming"
"69,110","14,882,004","99","FrEeToKiLlU","RuneCrafting"
"79,299","16,727,216","99","FrEeToKiLlU","Hunting"
"86,566","15,008,044","99","FrEeToKiLlU","Construction"
"30,848","34,457,864","99","FrEeToKiLlU","Summoning"
"95,271","28,186,599","106","FrEeToKiLlU","Dungeoneering"
"18,123","46,259,178","99","FrEeToKiLlU","Div"
"33,156","166,133,296","120","FrEeToKiLlU","Inven"
"88,088","24,211,765","105","FrEeToKiLlU","Arc"
"567,334","19,097,465","1,449","Corbus+Corax","Overall"
"402,606","3,319,543","85","Corbus+Corax","Atk"
"415,592","3,242,064","84","Corbus+Corax","Def"
"430,361","3,319,079","85","Corbus+Corax","Str"
"489,762","2,774,920","83","Corbus+Corax","Constiution"
"614,717","375,004","63","Corbus+Corax","Range"
"696,095","85,116","48","Corbus+Corax","Prayer"
"575,565","828,119","71","Corbus+Corax","Magic"
"626,934","320,884","61","Corbus+Corax","Cooking"
